REGION,GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC
South Side,Greater Grand Crossing,30804.99999,8097.999996,7222.999997,5106.999998,6258.999998,2269,1107,741.9999998,35.24969363,340,373.9999996,29625.99999,0,464.9999996,14005.99999,11004,3001.999998,10184.99999,2777.999999,5813.999998,7017.999998,1536.999999,2202,1352,5842.000001,2775.000001,1653.000001,1061.000001,588.0000003,311.0000002,26955.5874
Far Southeast Side,Hegewisch,9240.583857,2338.489503,1602.616824,1684.63572,2297.45699,651.4314111,501.0181112,164.9352983,40.5159,3614.77414,5144.197348,460.3619778,0.134040869,21.11634983,4316.005187,3988.572137,327.2947098,3231.109316,773.4832597,2492.771437,1452.542232,570.0577291,644.953742,370.7334372,986.3863507,718.2051578,529.2828992,366.5970899,616.9656147,249.2859447,51565.99913
Northwest Side,Hermosa,23489.00001,6365.000001,5803.000002,4597.000001,4266.000001,1473,764.0000005,221,33.91019043,2366,19619.00001,754.9999999,496.9999999,251.9999998,12332,11562,770.0000003,6018.000003,5411.000002,3869.000001,2504,839.0000001,1629,821.9999999,1880.999999,2086.999999,1059.999999,832.9999999,715.9999997,438.9999998,43009.11854
West Side,Humboldt Park,56161.99999,17802,13675,11215,8454.999999,2975.999999,1541,498,31.15402038,4009,32076,18559,485.0000001,1033,26741.00001,23561.00001,3180.000001,14656.00001,9569.999999,9238.999999,7199,1967,3914.999999,1735,5763.000001,4837,2614,1826,1431.000001,670.0000005,38592.71523
South Side,Hyde Park,27517,5276,10286,4058,4049,2337,1066,445.0000001,31.13646101,13099,2343,7386,3324,1365,15537,14543,985.0000003,9154.000003,565,1143,2016,644,4327,8775.000001,3763.000001,2335,2130,1554,1222,2039.000001,54139.78495
Northwest Side,Irving Park,53665.00002,11741,13919,12565,10010,3236.000001,1643.000001,551.0000001,36.21076002,23040.00001,22643.00001,1633.000001,4417.000001,1932.000001,31410,30041,1329,12434,5438.000001,8309.000004,6704.000001,2543.000001,10066,5543.000001,2985.000001,4692.000001,3996,2412,3004.000001,3321.000001,64598.48843
Far North Side,Jefferson Park,27989.00001,6145.000001,5735.000001,5660.000001,6066.000002,2461.000001,1354,568.0000002,39.75810081,17159,6910.000001,306.9999999,2894,718.9999997,15438.00002,14708.00002,730.0000008,7448.000007,2148,5248.000001,4111.000001,1555,4936.000001,2542.000001,1706,1706,1776,1648,2002,1677,76054.30826
South Side,Kenwood,17440,3321,4785,3204,3140,1721,905.0000001,364,37.5647452,3185,450,11744,1386,675.0000001,9277.999997,8443.999998,833.9999995,5393.999999,1033,1526,2065,828,3384,4080,3176.000001,1531,1333,861.9999999,1046,1360,49161.3924
North Side,Lake View,100547,12125,49269,20067,11077,4797.999999,2342,868.9999999,31.27204157,78804.99999,8167.999998,3618,6829,3127,75520.00002,73297.00002,2211,13847,1508,4048.999999,6643.999999,2534,36283,24801,6088,7723,8710,6748.000001,9812,13668,89276.45228
North Side,Lincoln Park,68696.99999,11928,30454,12008,8221.999998,3854.999999,1711.999999,517.9999999,30.44482876,54317.99999,4074,3136,5109,2060,46617.00002,45281.00002,1336.000001,13013.00001,1034,2643,3093,868.9999998,23171,17856,4148.999999,3252,4230.999999,3412,5767,11512,108874.6823
Far North Side,Lincoln Square,41713,7503,13482,10397,6629.999999,2087,956.9999998,657.0000001,34.89399439,26897,7726,1492,3735.000001,1863,27200.00001,25991.00001,1209,8088.000007,2265,4053,4427,1361,12360,7689.999999,2523,3672,3142.999999,2542,3153,3315.999999,73620.64117
North Side,Logan Square,72724.00001,14180,28051.00001,16508,8825.000003,3146.000001,1548,466.0000002,32.19589107,34880,30197.00001,3359.000001,2413.000001,1875,47988.9925,46041.27407,1934.718427,13075.15715,5510.000002,9782.000002,6377.000002,2354.000001,18531,10480,4746,5102.000001,4780.999999,3786,5289,5655.000001,75333.4654
West Side,Lower West Side,32788.99999,7105.999999,11129,6476.999999,4763.999999,2069,782.0000002,461.9999999,32.49659957,5902.999998,24275,1151,1088,372,19009.00001,17760.00001,1249.000001,8030.000006,6891,4394.999999,3092,1195,4616.999999,2469.999999,3211.000001,3329,2532,1250,1265,672.0000001,45204.43925
Southwest Side,McKinley Park,15920,4039.999999,3943,3447.999999,2796,1125,405.9999999,162,34.90448505,2718,8978.999999,156,3929.999999,137,8347.999997,7507.999997,839.9999996,4190.999999,2844,3161.999999,1541,669.9999999,1439,783.9999998,1296.999999,1549.999999,887.9999994,527.9999997,672.9999996,306.9999998,46112.06896
Northwest Side,Montclare,13863.56562,3509.526434,3128.665805,2694.407394,2276.363772,1383.617376,611.4177447,259.5670979,36.76123768,4157.870242,8494.921999,415.3053603,456.8791127,338.5889094,6859.07527,6394.686695,436.3885756,4119.261831,1932.649168,2852.382257,2072.113865,974.1005541,966.9730134,569.0972277,1262.185565,1203.676975,571.1855666,438.6575027,704.9095069,422.0297821,45316.63462
Far Southwest Side,Morgan Park,21694.36365,5440.524724,3238.354069,4042.599683,4946.009572,2106.049443,1262.736843,658.0893143,43.4714565,5885.205748,923.1658698,14274.47847,23.00000006,588.5135565,10141.72633,8974.604347,1167.107811,7479.616322,1253.295056,3336.862841,3537.125998,1225.602871,2961.250401,2622.607657,1987.347985,1600.6337,1263.615384,945.2014652,1235.67033,1061.084249,61032.15909
Far Southwest Side,Mount Greenwood,19342.00001,5231.000003,3584.000003,3936.000004,4093.000002,1389.000001,718.0000005,391.0000002,37.96193772,16297.00001,1838.000001,615.0000016,370.0000001,222,9921.00005,9561.000048,360.0000021,5366.000023,563.0000002,3011.000001,3434.000002,901.000001,3166.000003,1930.000002,657.0000001,938.0000001,808.0000001,1038,1700,1610,98422.447
